Component,Lost Load
433304102_0,50.65719728931326
26 hydro,98.25404223901327
17 hydro,92.8322661308978
22 hydro,83.68629281463004
C51.0,152.84504862104103
C95.0,208.62550189328294
C72.0,236.83898435524583
C69.0,162.55098633657872
21 hydro,84.96350125196965
-2037512606_0,51.18683410561542
C94.0,183.05045017698149
8 hydro,71.12843904947238
9 hydro,59.33748071871903
-1464549976_0,29.492858790306627
C71.0,155.14188091970027
1608386132_0,200.46298782569096
0 hydro,91.25893161466715
-1234324271_0,57.04580889703861
11 hydro,49.931733304708274
-12578261_0,217.47514681145466
52149683_0,16.002781057955495
C67.0,164.38853469176507
1187560986_0,7.7586677326842635
-1953944760_0,61.69009588127179
C56.0,181.17802433822257
C39.0,202.46567115576397
C98.0,631.3208984213917
-925448157_0,34.07162374837007
C61.0,142.14949705255373
-1495835241_0,8.71827578800569
-251780797_0,59.80585402111704
-1389783646_0,840.9174135086512
1117936324_0,97.04415050395721
-382422293_0,277.74609400498
1118471612_0,38.60566656240356
25 hydro,96.4291821520612
1631160969_0,41.08682592606863
-964455789_0,319.67153929401957
C34.0,166.46501929932626
C109.0,238.14908243028373
C68.0,154.54183335325882
1384506802_0,22.83754811823144
2048231543_0,10.378074499978808
935740859_0,11.40978456060843
C96.0,178.45785081023178
1 hydro,109.55881940522036
2035876983_0,81.0798779355197
-1359706950_0,111.89965680923234
-1617796573_0,36.11123231388785
1053115078_0,13.324969751305536
-724931943_0,27.487534009287202
64 solar,1.3341464560426177e-05
531108144_0,238.5765609851752
-885807357_0,57.56022032087426
-1698692648_0,16.824536311955086
-1852926576_0,213.5608439728879
-413285834_0,20.734079241038422
5 hydro,83.35590784403882
60 solar,0.018125092735628186
-393847358_0,145.9573902340935
2 hydro,88.40080556360128
-1008369492_0,10.293506660514888
-947615685_0,65.38710715687971
C77.0,140.32162724094678
-657715146_0,222.4409800122791
-694231642_0,111.27073131415706
49 onwind,0.19705653178495708
321953905_0,12.854057493244339
1686888444_0,500.461253177485
12 hydro,53.03673609297766
1635802992_0,8.458251821622671
1333044421_0,48.282767470336665
16 hydro,71.05671661793671
C35.0,182.40939302179856
-1581250990_0,111.0350812679064
-1382799058_0,262.0702634794791
-818481380_0,38.1719887102664
1244424213_0,324.304250753662
89 solar,0.011071305042813265
1385764829_0,14.136469261459427
57 solar,0.9419640391503292
-444590878_0,191.36302968378854
-1610587687_0,83.21131627383339
-2011192660_0,0.8520322515167723
-890252095_0,16.752389206012445
1183053792_0,91.05395052643618
-1516111715_0,499.4718810248438
-1964503845_0,15.585728662424522
-1559876706_0,34.29033054724465
1064099230_0,66.14968852526268
-2004087020_0,8.646213416231424
1208445144_0,23.55138092782851
604673162_0,34.9071907067452
-1025814263_0,1.2163464425903237
1487666159_0,167.98023473261242
-1827864536_0,21.085824028575544
-1578860216_0,1110.1459178155005
591181987_0,16.295326791985552
43 solar,0.15407492260159664
-1705350592_0,0.34848214620303974
95418176_0,128.36023874196906
1872975398_0,68.07346503112471
71312658_0,3.6786339340277165
90 onwind,1.9630807131761685e-05
-929792848_0,188.6283001849116
1286796265_0,73.03994977851046
1089459438_0,2.4168309193155038
