snapshot,CCGT,OCGT,Oil,Geothermal,Hydro,Wind,Solar,Biomass,Battery,Nbattery,Lost load,Demand
2013-06-20 15:00:00,0.0004238498918701692,0.0007221966700920701,0.0001148482445009972,509.9999878371333,532.199997314524,8.876091596997982,1182.4144809210948,210.17772508414845,0.0,-1.0614966024090806,-0.0014803651379224902,-2442.4886226142235
2013-06-20 16:00:00,0.0004446494033693325,0.0007230538050815806,0.00011527040918582554,509.99998810261,505.4904705452245,6.616571745757536,1350.5324603549536,61.656334710221486,0.0,-0.8246379444521952,-0.0014893070379002893,-2433.379354742622
2013-06-20 17:00:00,0.000347145228914757,0.0007417990637292911,0.00011657829618119327,509.93019943955915,468.946633108871,4.988582688077746,1402.9962565570197,10.143461079313191,0.0,-2.6360241200236474,-0.0011816463729701354,-2394.0762410601415
2013-06-20 18:00:00,0.0004517226805718834,0.0007282825406367384,0.00011564673686946932,509.99998818546754,492.4809662012055,3.4629146288175425,1381.2552047309905,27.0274269665303,0.0,-1.0318739917063724,-0.0015259332740242826,-2413.079743774244
2013-06-20 19:00:00,0.00042412959979364724,0.0007203058439911396,0.00011501487364298105,509.99998790618486,519.8623633114983,1.8354215065690822,1229.9486168394567,154.38455341775892,0.0,-1.0950718526063148,-0.0014828003327238548,-2414.8139731285564
2013-06-20 20:00:00,0.0004162414282413487,0.0007201596249332315,0.00011459876288199158,509.9999872061884,552.218343478055,1.7512899703924212,985.3533936347274,447.1168849885652,0.0,-1.3866201554022544,-0.0016020100456444197,-2494.8988592061405
2013-06-20 21:00:00,0.00042114871212091734,0.0007186161437103916,0.0001139825193101421,509.99998745111327,629.2349405428639,0.8997585789076618,634.3057641557784,788.1299110372356,0.0,-1.9875590205749578,-0.0017630315323913237,-2560.3614535699917
2013-06-20 22:00:00,366.02792820615036,0.001687530933754302,0.0001444779589874954,509.99999250407456,695.6912695214269,0.5828603563029917,235.51434665576886,839.994592228943,2.5457322401756013,0.0,-0.0007216034928205772,-2650.103258894225
2013-06-20 23:00:00,563.2437673264221,0.345080903168235,0.00014045813043843936,509.9999925022858,798.3814611493174,0.611092984410133,0.0,839.9945982275899,1.9839714939502127,0.0,-0.0006876629049656913,-2714.361020232974
2013-06-21 00:00:00,559.9407928768542,1.6568921792086855,0.00013960001978236745,509.99999277259224,809.1973250968906,0.5027953154853456,0.0,839.9945993515186,3.0695220159123195,0.0,-0.0006574355998054671,-2724.0544495712907
2013-06-21 01:00:00,461.41112834775237,0.0016751121747294619,0.00014287627266668725,509.9999927860273,759.1652377747776,1.884605229913301,0.0,839.9945950572055,1.8342421938432683,0.0,-0.000692074931521347,-2574.1075030836505
2013-06-21 02:00:00,357.0665452776979,0.0016822379349060335,0.00014338727327725993,509.9999927182762,704.6450398481347,4.5210226761402454,0.0,839.9945936240363,2.0186933476479654,0.0,-0.000727541047581326,-2418.045116241329
2013-06-21 03:00:00,135.145589881161,0.0016767984462506453,0.00013771609056434904,509.9999925751532,686.8617100369479,7.542365118541961,0.0,839.78311410209,2.5054568021881947,0.0,-0.0019898081704923243,-2181.58750754223
2013-06-21 04:00:00,0.00036961337265803754,0.0006579672523086593,0.0001103693337073477,509.9999869007795,663.741060722107,9.186107679648224,0.0,817.968593770355,0.0,-2.461028085860151,-0.0016043784578414488,-1998.1608069934348
2013-06-21 05:00:00,0.0004154283529608871,0.0006901985835526386,0.00011204847726768082,509.9999877323951,620.66584044749,8.646576612801656,0.0,781.4832046077058,0.0,-1.9050052521802325,-0.001817144981941965,-1918.6783374284018
2013-06-21 06:00:00,0.00041231850265761053,0.0006915171849148555,0.00011207964457067934,509.9999876201035,565.8096451149704,6.720809850290218,0.0,720.0460172060895,0.0,-1.757668051209764,-0.0017551911580540036,-1800.6229560142833
2013-06-21 07:00:00,0.0004124262812645838,0.0006916056124591956,0.00011210722022245426,509.99998733704325,558.8003771529086,4.870936199484549,0.0,690.79404095541,0.0,-1.7297081923430966,-0.0017293897274157644,-1762.5429304027405
2013-06-21 08:00:00,0.00041313931761326975,0.0006916669751064823,0.0001122809537740841,509.9999877994066,566.1712062089381,3.690136384083679,0.0,722.5955580103608,0.0,-1.7979360055985762,-0.0017382153789640142,-1800.4586606017695
2013-06-21 09:00:00,0.0003742060173091934,0.0006608215261830513,0.00011077150375866705,509.99998701785256,667.171845573432,2.702131534288456,0.0,822.4728226715997,0.0,-2.271904099961099,-0.0015785429666266282,-1999.8220161644078
2013-06-21 10:00:00,223.50549258499416,0.001742345191417004,0.00013950228892042164,509.99999269186924,690.3134339971044,5.149869638112979,0.0,839.9790372779254,3.7400887096817415,0.0,-0.0007025346558293677,-2272.3150853415445
2013-06-21 11:00:00,369.45557875245584,0.0017417742003271626,0.00014402647400256363,509.99999256666143,708.7204990066471,4.969510513926253,0.0,839.9945950129687,3.752831899428933,0.0,-0.00038773659980506636,-2436.5192226262197
2013-06-21 12:00:00,234.96262241127604,0.0016703328170071493,0.0001445078496596382,509.9999927152956,692.6564683707489,4.7135709905433725,200.61239053630916,839.9945984438988,3.7532690949624588,0.0,-0.0004128304544792627,-2486.3189876637502
2013-06-21 13:00:00,0.00042311503330763443,0.0007230196801080952,0.00011387381705482496,509.99998764835306,580.1936514446884,3.8607930849498695,624.9705810513883,738.507388220921,0.0,-1.1018266322548391,-0.0017173339933833631,-2456.307692311221
2013-06-21 14:00:00,0.00042173067221322843,0.000724302653592316,0.00011452820512357855,509.99998777563354,549.4228274449923,3.237919405209664,1004.0857661917499,384.0810025023353,0.0,-0.7028668024729116,-0.001589177732967073,-2450.04621158986
2013-06-21 15:00:00,0.0004280709852062972,0.0007247780709120978,0.00011479269461571314,509.9999879067161,527.2211067011077,2.9679848573469045,1251.8393276754982,162.8966226046126,0.0,-0.5625659140205538,-0.0015868798463998246,-2454.2996372693847
