Component,Lost Load
-1282014296_0,"[0.09791988931542756, 0.09640329153765788, 0.09640358748276731, 0.09653303998101137, 0.09699332735557119, 0.09979543891296225, 0.09985286204099475, 0.09795434064422534, 0.09695144107336455, 0.09695370783532098, 0.09752724707349489, 0.0986673019318946, 0.10583443378637275, 0.11045421307957122, 0.11377650877440511, 0.108683001297602, 0.1021651100306276, 0.09263415795071386, 0.08491244187913184, 0.079947130443976, 0.07720894818046668, 0.07593120607962328, 0.07761090743261526, 0.08637361809548383, 0.09648719281443982, 0.10320710751002253, 0.10044759785397946, 0.174279034956111, 0.17024654067927805, 0.15691872916965577, 0.10630449822656282, 0.10752915374006716, 0.11855700397194209, 0.12027414609676339, 0.13038796178794815, 0.14277984303828953, 0.1503435818690118, 0.15313528117200212, 0.15306578425314454, 0.1530630765016863, 0.15244138340805738, 0.15243940478686818, 0.15244039397947381, 0.152760296829666, 0.15407813446947785, 0.16210696390459226, 0.16356715179103595, 0.1643514102433851, 0.15619073783562545, 0.14251670830120747, 0.12555709040001284, 0.11918344400676983, 0.10919846627054176, 0.10740877114931505, 0.12386127613584995, 0.11092039240005443, 0.10359905875023856, 0.09596900890353004, 0.0947439598049798, 0.09300327256224887, 0.09498285798701613, 0.10650439729501568, 0.11223686231956458, 0.12054421080838483, 0.12507132479458596, 0.1268301085144576, 0.12723072139982058, 0.17224674346115762, 0.17005669056104625, 0.16092903510002907, 0.14606878638100307, 0.12876334653227742, 0.11751375061616409, 0.11585490764959559, 0.11780869191403645, 0.12927385461597624, 0.1308256758641596, 0.14181503651919503, 0.15214452724518607, 0.16087532906939123, 0.09929691218241897, 0.10043330480353052, 0.10293910478811176, 0.10165383569005552, 0.10270621843126491, 0.08945962882591585, 0.0804800403583472, 0.0779435191681987, 0.07502342364236347, 0.0744582478883408, 0.07622983187566365, 0.0837517494191777, 0.08906487685133833, 0.0985783537912398, 0.09949013284521198, 0.09816855059299405, 0.09805955113234177, 0.09681839944956391, 0.09681495772699554, 0.09668552633395393, 0.09595516335385264, 0.09606504228374615, 0.08161291650529165, 0.0900831610226694, 0.09137924768018274, 0.09838821043009466, 0.10756800364303945, 0.11253160551167365, 0.11524316079820256, 0.11490218679512737, 0.11168504583114713, 0.11006195480034785, 0.11132132062539131, 0.12307766825264593, 0.1242999517302128, 0.133045581745047, 0.13180506490291738, 0.12424743857898148, 0.11218125060241482, 0.0996199557923419, 0.12394975622347783, 0.09084632535878882, 0.16039191119421456, 0.1463920904663696, 0.1287589473501007, 0.12443241104684534, 0.11351371505640191, 0.09655827071711155, 0.09775211340497299, 0.09828889737163854, 0.10314345437379871, 0.0862056926013488, 0.07886692311693105, 0.07316936128907787, 0.07219152919387829, 0.07402803970866194, 0.0828281822864658, 0.08669691243066655, 0.10822270402147251, 0.11492301460992076, 0.11464880257370805, 0.10029989604182629, 0.07346140425493672, 0.07465028028722076, 0.08476564068566017, 0.09212310245329809, 0.09858608964833365, 0.10002735742106415, 0.10062095704299827, 0.1008162607204531, 0.10121109727198654, 0.09996870132422055, 0.09921817997603558, 0.07188542296091964, 0.07332994485811924, 0.08333194527983391, 0.14294137879941854, 0.10672202776508356, 0.15692296033258527, 0.13487037642483665, 0.12077706134135041, 0.11018904327304449, 0.10193805580839807, 0.10022277458566237, 0.09982182748135711, 0.10199549593246593, 0.11097792531915911, 0.11143512607945036, 0.12516270926297285, 0.13976541800630593, 0.148234312684825, 0.1521722370768025, 0.15087328316740378, 0.15087008591741188, 0.15028591083881837, 0.15019579143536885, 0.1502166327019936, 0.15052994648498907, 0.15226951177387446, 0.1734086030949129, 0.17470835423746167, 0.17041693567838548, 0.15743769545960004, 0.13496475638707853, 0.12052367218128938, 0.16769697861038593, 0.16514308515784795, 0.15581253483781937, 0.14679628121638552, 0.14666340471118974, 0.14666281109024065, 0.16966638915029353, 0.08069150055785212, 0.08178896773029828, 0.09038721347064393, 0.09197311576075526, 0.12874973194643918, 0.12442551607637438, 0.11350948977246457, 0.11169140372542802, 0.11006706429327778, 0.11132606353117194, 0.12307521596605533, 0.12429722022116767, 0.13421090427954435, 0.14744542804774027, 0.15483703190626194, 0.15822332215717824, 0.1583395955390856, 0.15835623192573076, 0.15769869111302295, 0.15793437045216205, 0.1579348886915177, 0.15804553902809904]"
868669670_0,"[0.0821727471561835, 0.08139010578072611, 0.07843313759870671, 0.07131144952152363, 0.0787387570952319, 0.0781186536241944, 0.04687446616172451, 0.04771598414009668, 0.05204497909176075, 0.05253792465307288, 0.05872571082766671, 0.050980624148892505, 0.05196239486253126, 0.05179957561628885, 0.051087942913965664, 0.0523839779918751, 0.05866247635382342, 0.05225277915175047, 0.055081423591773725, 0.05606873251169782, 0.022070099025524086, 0.024934021953873526, 0.07210958206386886, 0.07232939458727743, 0.06831272330686942, 0.061973161031325164, 0.05049417675628888, 0.049528141248242036, 0.04951048737719066, 0.05128175263447724, 0.05679721163992508, 0.059426623382560134, 0.06338829308624963, 0.041963682663949384, 0.07322646947606973]"
-1008369492_0,"[0.007650573980565695, 0.009440050834608428, 0.014872543141683764, 0.009332825042345576, 0.022459154031883373, 0.024318190459773178, 0.0001754477427684833]"
C48.0,"[0.006063127117431123, 0.0024294458983004008, 0.0030050854119449467, 0.005715878960867485, 0.001404927430871794, 0.003004958554588484, 0.0003765107355834516, 0.0004118137409814153]"
C89.0,"[0.00041188446225760345, 0.00570825463242727, 0.0013972203689654634, 0.0003765426744494107, 0.0004095864208538842, 0.00301337445095578, 0.005715170992849835, 0.001404853461570383, 2.1292368310241726e-05, 0.00037680010239319017]"
3 hydro,[0.0003862516603671793]
1342391373_0,"[0.11792884036987607, 0.14148438024592178, 0.049269931305574576, 0.20573834752636458, 0.20168998600396526, 0.1782086218495201, 0.0745628572039534, 0.07175812608147407, 0.07515117674609678, 0.10514769826501492, 0.13565802179618003, 0.08339512954366683, 0.020689936058171043, 0.04084251120050931, 0.1679363785900341, 0.16914999335153288, 0.148808586283119, 0.11772991424525207, 0.08956801780357318, 0.10186709831984127, 0.08938330942746142, 0.08947824347765754, 0.08327685109707249, 0.2326467282623148, 0.240953901021599, 0.09648133017757846, 0.062469766659204194, 0.058148349934313275, 0.036108820219908466, 0.08525796269034118, 0.21354693754917936, 0.21272980053305993, 0.1944252892152249, 0.162763134870891, 0.12836428164630842, 0.09200404704806851, 0.07977972831718808, 0.06528472439569055, 0.06067838634502709, 0.06430047709094129, 0.0824689196258812, 0.09468509583792684, 0.123700426178405, 0.05632159169677334, 0.1632043674142078, 0.16892014405770941, 0.14991698410168375, 0.1153864876617331, 0.07792686164794031, 0.0704785484647341, 0.04831922287027123, 0.044424104897016606, 0.04096021347601481, 0.0450086282946304, 0.06869503124083622, 0.07126584403088464, 0.0661419252267633, 0.09565926571979048, 0.12545671639264697, 0.15539254236712305, 0.18604671152807442, 0.070563248856482, 0.01560845070274354, 0.19724286688265782, 0.20607525660723422, 0.19031169258718864, 0.17351537200178382, 0.1264966748748768, 0.04767289555444404, 0.036831440398965694, 0.04799662302341221, 0.06919623179946029, 0.10291626965163005, 0.14035079874630718, 0.12180707857671633, 0.09067621254808819, 0.05511494944803826, 0.108006889453138, 0.09818030471319343, 0.09355726336312478, 0.09961071235125883, 0.1311337524532064, 0.032175462265821804, 0.02877122086833151, 0.12464679466239705, 0.12168873016858606, 0.017126762259950284, 0.19634018679853352, 0.19603784017830822, 0.17728409249753305, 0.15809835022842708, 0.120100912974724, 0.09623182765484921, 0.07540921478980021, 0.07040850375679247, 0.06628134094037431, 0.07459421737566231, 0.032560373970425646, 0.05403574996293696, 0.05652723424952842, 0.0874119530240364, 0.07427654401564086, 0.2352670140725868, 0.23525595841208816, 0.028801470005710143, 0.022850581721014805, 0.02047493490533202, 0.07767811697455546, 0.029846212013419974, 0.03404799250473661, 0.05433765519892063, 0.05681522302459212, 0.056709684329381616, 0.044940318607502604, 0.047985593176544626, 0.06918781627772023, 0.018339911900972766, 0.10739668084010873, 0.11491262121953469, 0.14005454003186468, 0.08779970893792007, 0.0697408443052882, 0.11489945057794353, 0.1399919995944042, 0.08777245879637803, 0.07880857509476687, 0.08071918176987675, 0.1679609804770462, 0.07131923950891496, 0.1014094268485851, 0.005140359232892934, 0.03220442771119383, 0.028813476641177657, 0.032777483989354095, 0.05599624297351602, 0.0666306695673552, 0.0970300825905963, 0.11059760725769388, 0.14415827215450644, 0.024653754010264494, 0.03620077405227903, 0.1964885166332615, 0.20166224145521436, 0.18355833677390457, 0.045177686859891084, 0.06464316565166564, 0.06135656106103488, 0.07169942539123121, 0.22265906911537878, 0.21988941642067675, 0.2081005604230181, 0.18368399569161828, 0.044909787000988674, 0.19283742900971357, 0.19383704199020757, 0.17305798765742883, 0.15373152892406688, 0.11333434381528877, 0.09036835969869207, 0.02469602917814609, 0.027315519804903942, 0.05134578467295205, 0.034600138602242626, 0.14056832960611565, 0.1563632105980537, 0.014778728282039537, 0.16691716841968673, 0.16965800859220825, 0.1469524527168519, 0.11851339684473897, 0.0838894613975001, 0.0715995626830063, 0.04887113244913735, 0.04484427133755162, 0.04229705232352194, 0.045102608301325516, 0.07017691159565084, 0.07754889514284855, 0.07116048701496948, 0.19317838943535845, 0.17047858324521759, 0.13186036750055838, 0.09605960303694747, 0.061150461797735485, 0.04199486297495332, 0.03814915408840443, 0.03533765189120117, 0.2024640237590179, 0.18582754245388058, 0.1616725038045529, 0.03668862147228356, 0.03348174088153542, 0.13905542982798033, 0.11189569116906523, 0.07224351677524418, 0.05508002379635036, 0.05574372037451167, 0.05707477802040967, 0.16413376310381456, 0.1763202456925037, 0.17289527906620925, 0.15372340701107443, 0.13147860414302387, 0.03151543114940273, 0.028062051153186985, 0.030722809966979184, 0.05560311942442922, 0.058166070027701605, 0.07917520043465037, 0.007505699353632281, 0.09727849349746338, 0.12361324551775442, 0.006874963905383538, 0.05777829602742077, 0.03604950834515648, 0.032231420851248686, 0.028827688377323284, 0.03279147333403534, 0.056491438712569106, 0.06069344571516513, 0.08247258861645833, 0.023282342479280488, 0.1591669224917, 0.1393417690240253, 0.11232164673457828, 0.03613574487295136, 0.04187556841566811, 0.06631707658016898, 0.06739093211152863, 0.09905032571886795, 0.06630461805726282, 0.18124989570162825, 0.06950424354715165, 0.10526616031119738, 0.06759302968453017, 0.0552792744689632, 0.035058283593658646, 0.03151963305430809, 0.029552010218924805, 0.033359313105110006, 0.054354722022521625, 0.05686480698766627, 0.08797137558630856, 0.04655039572001942, 0.025320331802778127, 0.11901774773710122, 0.14137329320410072, 0.12272479352182564, 0.08934819092982571, 0.05512230059880039, 0.04735052812167214, 0.025925658662117712, 0.02226566932692026, 0.01904203505142277, 0.022802965706731355, 0.04495519239449163, 0.17743103824355602, 0.14634896241689058, 0.20771886170200424, 0.1862416721007471, 0.15760055121689992, 0.10763667898374706, 0.08504636205641919, 0.07036314824891929, 0.060928940828811846, 0.058890146133726604, 0.11794994754512482, 0.1415161945944383, 0.12255714819861305, 0.0886699998764343, 0.025591717375446934, 0.10910998840688808, 0.15619647426264874, 0.1384121499728153, 0.1143373790286264, 0.07638259679003977, 0.05901211560723937, 0.03594314570926167, 0.03197569519697663, 0.028534623629469933, 0.03160945618676601, 0.05649995820068398, 0.060405178050733865, 0.06909953265747026, 0.14051198640919232, 0.07134937537495444, 0.010981215603440432, 0.1869716033473146, 0.18999817307256262, 0.17234180100851926, 0.15153160807690982, 0.11193041280114403, 0.06796858653460913, 0.19454376449804658, 0.07321368983255093, 0.06738214503935001, 0.06422155705323848, 0.07100040314268927, 0.06041209168972182, 0.06915246195066288, 0.08792445512790482, 0.08761562242155219, 0.12022648277880717, 0.0635460028007883, 0.23187824298440227, 0.22787405887855766, 0.20570265938331023, 0.16897395391160172, 0.1327681292646739, 0.09593569943347006, 0.07443158834181508, 0.07139230022514971, 0.06791619752971564, 0.07531514452314172, 0.09760259917562644, 0.09984913881041735, 0.1292631595482908, 0.006564357514556377, 0.05825234870653367, 0.08248940889844858, 0.07371760079259775, 0.07231380950361199, 0.07747520055095106, 0.10845058052340618, 0.11641528144305835, 0.14615523507132183, 0.07851544170601937, 0.07862260566887516, 0.2009929222060796, 0.20781413884037148, 0.19069101586300258, 0.1685550218171379, 0.12174353305588374, 0.08365774415029704, 0.07327344042943947, 0.06741949817844148, 0.06425788441982673, 0.07105950658636766, 0.09516057329617865, 0.09967049122382013, 0.13571813203810257, 0.07175358117632322, 0.10728818248911057, 0.07537699631194118, 0.04682366748264281, 0.027699030760244114, 0.02381032746679807, 0.021949557066576062, 0.026830759906705453, 0.04815057603315927, 0.04801617759774035, 0.03605460119634767, 0.03223534368092396, 0.028831202737399964, 0.03279491716374605, 0.05602653751185744, 0.05853838847427869, 0.06746058453148908, 0.017018030920765797, 0.136094677084046, 0.15651576388038438]"
-1827864536_0,"[0.04697811849825166, 0.03277097640928582, 0.033922011003421175, 0.03863973153831421, 0.017007922956782294, 0.047629187576390904, 0.052316307764823704, 0.04716515762026392, 0.038463767490679854, 0.03283035993934527, 0.028902408090305018, 0.025067421036064387, 0.02438081119806998]"
-885192936_0,"[0.006070724334841998, 0.005759985837877593, 0.005843368765966716, 0.005785180662771381, 0.005793828258606482, 0.005792078047571067, 0.0056788579287799625, 0.005222824632849097, 0.004964415719721728, 0.004529820072802068, 0.003869342980154215, 0.003967313766533152, 0.0039963804989533855, 0.004887425273876033, 0.005261539298673143, 0.004541651804812318, 0.0046154573598350904, 0.005181587931188006, 0.0053272015891620865, 0.005647934678072488, 0.005572776782552864, 0.005595161904093857, 0.005557694790056303, 0.005557229750771058, 0.004603518510893082, 0.004238112839836048, 0.0042771095290245285, 0.004798753315029899, 0.0058584476340938635, 0.006389784120342029, 0.00680620993891489, 0.006513374780475715, 0.005182420698297392, 0.004542325260259986, 0.004161187023521506, 0.004300602381266799, 0.004724536121818346, 0.005330656605723107, 0.006180696380608879, 0.006216272228537037, 0.005812873146695893, 0.005392877737934668, 0.004845177324821407, 0.00449832118774657, 0.004202341766119617, 0.004128956028184802, 0.005625535302845492, 0.005640835453557883, 0.005637305303396261, 0.005647205463035334, 0.0047550058929605255, 0.004682920960046886, 0.004830192369214273, 0.0053968886007069155, 0.0055252198922389655, 0.0059452359274182525, 0.00619926687115003, 0.009006096454374984, 0.00880771818838457, 0.008131198523940383, 0.007016718239865895, 0.006213342707198535, 0.00575689519858679, 0.005281238596616959, 0.004749907966313003, 0.004233094351199724, 0.004080573734403515, 0.0037644748523389354, 0.006365864986252746, 0.006531252644875621, 0.006129346587546934, 0.005545114597349766, 0.004960939476184649, 0.004504524946720039, 0.004194154603949073, 0.006612657963260062, 0.006376211821437664, 0.00604763401258424, 0.005279742313715815, 0.004695491019762358, 0.004384256497102342, 0.005879191806239305, 0.005882899674474174, 0.006034292099110644, 0.0067805582404939745, 0.006707972772388529, 0.0063427757450899664, 0.00572077489213325, 0.004640523783414892, 0.005758143554851813, 0.005932834991239816, 0.005352416459506912, 0.004969939034365325, 0.004228026467987547, 0.0039047711355428873, 0.004338937755877396, 0.004089808301518587, 0.0031425640558354643, 0.0036815625399699457, 0.006962573291346416, 0.006232631463415145, 0.005685408713016841, 0.005265363567486475, 0.005174389754466801, 0.005156299172599574, 0.005266059723000126, 0.005722952443729355, 0.005741244433902011, 0.006452323129998149, 0.004276029631282199, 0.0041550715571997895, 0.004154152111027997, 0.004280197604701243, 0.004627123839768956, 0.0050639973509605625, 0.004454050331546114, 0.005020711452839805, 0.0053913537298562915, 0.005630557679948652, 0.0057871036048927635, 0.0055106152481080245, 0.005295735136601707, 0.00443123776603079, 0.004376605298653658, 0.004285200540568895, 0.004376877456300235, 0.005427731995983777, 0.005055064227185539, 0.00543141998982901, 0.005467286529216835]"
-1389783646_0,"[0.20300848478227318, 0.22935177840695384, 0.3081853626756092, 0.2936080172989973, 0.20878537633615202, 0.15829982882895025, 0.1406375802662683, 0.1336981840834078, 0.1548344546523424, 0.1171523587912734, 0.4726938003998557, 0.29083471707549324, 0.20160163536946857, 0.10716794570471189, 0.09257170268785035, 0.034895950534528763, 0.025016438088683573, 0.053629544973058725, 0.296516753005948, 0.3397684369233116, 0.29343353823651885, 0.20446999351516387, 0.11351725749863567, 0.08860591947851504, 0.03703167889720044, 0.24284970762189345, 0.26911776205026533, 0.3396856625308924, 0.21199638217587607, 0.1431185801043357, 0.23968662722293926, 0.3097485280283904, 0.37142959111326945, 0.15615667822718432, 0.15084384971338932, 0.4508017882995805, 0.3734840248753539, 0.2386087709706835, 0.1503615156120909, 0.05318350937653076, 0.04654396995478305, 0.053777856238804815, 0.1194171441458584, 0.12973529649236207, 0.18995870427005365, 0.035557221819974075, 0.23766116154972725, 0.3414243071402316, 0.14002299315006098, 0.12685696565820875, 0.11933994750654665, 0.11281749429884508, 0.12079580981274217, 0.19342962098312863, 0.11473082319127116, 0.09559031670727358, 0.0945042612186171, 0.10843518648708528, 0.18859926652286912, 0.21190274517453236, 0.28778254646628076, 0.014780177143388756, 0.185726506801881, 0.5914388800019378, 0.5804722016882097, 0.5220491907535129, 0.4234938679666709, 0.3451099452372832, 0.22521855073758662, 0.16256503559136673, 0.15358768843631856, 0.14223389402538533, 0.1579465523254978, 0.2531089599978591, 0.2752423822967887, 0.3239166590777104, 0.1012527780407513, 0.5115058553094227, 0.5347307404063864, 0.5079413887723745, 0.4105758556929966, 0.30013775431348677, 0.22842637039425062, 0.17930653286589404, 0.1603017149196387, 0.15188812331728263, 0.16917450821760302, 0.2610792769997247, 0.3020951926345263, 0.32571021444092796, 0.26058173505819193, 0.27974404484371757, 0.32966223615714874, 0.0019067880391116887, 0.3088518861575039, 0.37564070262893484, 0.2208660183733282, 0.2375829035702857, 0.15892901721009708, 0.15173372319642725, 0.1611209158717327, 0.23602513343728834, 0.18749743674310365, 0.4712323750912019, 0.49496076448541226, 0.4470779010646943, 0.3799046263471164, 0.10373022508924395, 0.045817306853413585, 0.04056520339146482, 0.050764641909860984, 0.10698514034654817, 0.113576266916024, 0.19660079119670537, 0.08723551536215154, 0.12252198644315968, 0.45118178961616606, 0.5046121814170597, 0.4185539271827065, 0.2764462234239222, 0.18319597898900655, 0.10950742337657471, 0.055411273340526576, 0.04321146723232164, 0.0406669311410933, 0.05086094550825419, 0.10705805373828298, 0.1136468280146421, 0.1966990513943324, 0.09329167634341592, 0.501538665943257, 0.4438395502642752, 0.3526174515694504, 0.24791938406910663, 0.21176175207455072, 0.1452606086032499, 0.1332156417406891, 0.28300387757932594, 0.2163068759210603, 0.16906392354575608, 0.16072648127501044, 0.14581280884506054, 0.16065172899698724, 0.24510140782428516, 0.2734942701938901, 0.340665112882263, 0.16430207655789308, 0.051767439325399206, 0.5202453342164672, 0.5234767835793814, 0.5206956995380702, 0.4137399828859784, 0.31084493909066646, 0.2319748798223027, 0.17108390352090327, 0.16343242739242056, 0.15804700948577305, 0.17357962597799975, 0.23629344062574797, 0.041666478518176064, 0.3974265856480306, 0.40063424205032244, 0.2309212197308161, 0.33933838603159255, 0.2930157534672503, 0.20728784510579634, 0.11309449814010418, 0.0921576823179098, 0.03448388375809213, 0.02460724922035615, 0.015919837142276037, 0.02604515810968519, 0.0856861041666025, 0.09383529820264153, 0.14260984890138548, 0.03695505512869136, 0.0911644588459435, 0.09390928251933564, 0.17675774617102388, 0.33116886583952054, 0.572561756219488, 0.5811576432180892, 0.26818370410864145, 0.3388908787847608, 0.5686843742175666, 0.5591755039096165, 0.49520887848599476, 0.3859519120307623, 0.26961001746314606, 0.1841464845417347, 0.11951649622363515, 0.499120404035089, 0.40757568331153515, 0.3740019760007531, 0.3216019023472768, 0.24080932955541037, 0.16351011941102364, 0.11235468305229529, 0.05827059792630303, 0.0460803471696347, 0.04081051244804075, 0.05095906576278867, 0.19070867023416532, 0.17790082478473687]"
-1559876706_0,"[0.011788152369806085, 0.012070758595144525, 0.010975090564479616, 0.011197355245926247, 0.008920719218376689, 0.006251754982799411, 0.002519191832210254, 0.0012894017137182346, 0.0011521105417600665, 0.0015084811677211292, 0.011075721652910034, 0.011222188499519689, 0.008926374590520482, 0.006167051035677104, 0.0022957556647647836, 0.0010418126276172189, 0.0008724407175741362, 0.001094571588452709, 0.004811154791785156, 0.01554429463565748, 0.011587253697129199, 0.011977453609963959, 0.00976917637082579, 0.006761527244134413, 0.003004982859271422, 0.0017780644867041247, 0.011439620050736267, 0.011785206141714298, 0.009752737774441357, 0.006685318079523313, 0.0031624774396223072, 0.0014947682598258326, 0.002236550484051804, 0.0034822846158076575, 0.00510269339057686, 0.0011226142690770758, 0.011373231637880054, 0.013207726009933595, 0.009327351938584343, 0.004244267551142911, 0.0007338920781712659, 0.01028961977882409, 0.012152690732802512, 0.009912182087986821, 0.007999752559631361, 0.004513859007912287, 0.0018890354764614585, 0.00010628985227845077, 0.012130923602531766, 0.012277113399046356, 0.00023746461646464921, 0.0009322664425226321, 0.0031754775499734933, 7.232922311277434e-05, 0.002239800035331427, 0.007241905155263794, 0.003653904283508382, 0.0011123401266254405, 0.0043241051123445685, 0.0022574231557896383, 0.009273863165626608, 0.009864176773540293, 0.008624075722043927, 0.0071601055655337404, 0.0030409084731772965, 0.0010017828513998665, 0.010477295918421078, 0.010131993250675805, 0.00831380085236924, 0.006132436756983225, 0.0027643555981580904, 0.0020906569598828353, 0.002268786724539041, 0.0029697697424276156, 0.0017053227490614518, 0.0005504994223474569, 0.00032296461157011434, 0.0006439612741992277, 0.00027068407709066375, 0.0034370204239794473, 0.012675027403260174, 0.012103235599548498, 0.011177509759481381, 0.007516535042767828, 0.004953536709415857, 0.00016472522581193516, 0.0014613044875006836, 0.002168294123644046, 0.01110458338494982, 0.005740709143218283, 0.003128232364898622, 0.0019908745650218406, 0.00042153313703738603, 0.0004185060835909553, 0.0031497874926471924, 0.007053543503282071, 0.009411810692584368, 0.008230315617357974, 0.002300847620008426, 0.003091747255343762, 0.005647994321011083, 0.005682927272890083, 0.00012270136178699431, 0.0005401835573884455, 0.0035628330732208726, 0.007064404133879634, 0.009842855653673724, 0.006755164671217244, 0.0075436540273594805, 0.005724474163532705, 0.0033966159654937656, 0.0007877190056096879, 0.00802165501455147, 0.00818948174846173, 0.0059894369108078535, 0.003325698051477502, 0.000494378091444105, 0.003415587472784637, 0.006005259141595161, 0.01021573291137338, 0.008327031334177264, 0.005815542645992992, 0.004366959286303426, 0.00663483046315514, 0.004924941473676427, 0.0018344418026067615, 0.0063489449765197605, 0.004756267058161029, 0.005439339541066147, 0.00294107574526015, 0.011529466286491243, 0.01133552778749754, 0.00988663989536235, 0.006811257177254902, 0.004220870750949871]"
-1953944760_0,"[0.016844261118472786, 0.019203901707999193, 0.0014683345783282676, 0.04574982047796857, 0.017764952669879222, 0.020573543966412217, 0.0029432057535259447, 0.029259274642831314, 0.026651147152500016, 0.010077787058090053, 0.029942688716352677, 0.030896146526895336, 0.01302367493434167, 0.0005863545446100033, 0.034029567919146304, 0.01956382553798403, 0.005352166485258749, 0.01909694575017966, 0.0038676451972914946, 0.01831975050274559, 0.03254916121023962, 0.016418059066303614, 0.01521829438692157, 0.006850570193434123, 0.00923199004654407, 0.01065393001779603, 0.03527866135972454, 0.0375300623241219, 0.019602276812694528, 0.004533728852909917, 0.004126139586026057, 0.010934377805767326, 0.0018936417591326063, 0.009147903456558196, 0.029946921809932973, 0.03090282447535674, 0.013009739780082328, 0.00689160716622564, 0.0018554907444677156, 0.007762406199259658, 0.0477058842861743, 0.032389644881349794, 0.03867951624809348, 0.031670962363818035, 0.005161012813086927, 0.014991836506201707, 0.016426554914242844, 0.01041700648038659, 0.014975412045396751]"
C88.0,"[0.00041198041330471825, 0.005796655091507091, 0.0014861248314041403, 0.0061440680027917555, 0.0025110071998446985, 0.005795720396309207, 0.0014851696656887725]"
